id,PARTY,PARTYNM,AREA,PERSON,OUTSTANDINGAMT
340,427,"MAHALAXMI TRADERS, SAYAN",SAYAN,VIPULBHAI,36555
341,428,"NEW JAGDAMBA KARIYANA STORE (GANESH), KHODIYAR NAGAR",KHODIYAR NAGAR,VIPULBHAI,238063
342,429,"NEW AMBESH TRADERS ( RAKESH BHAI ), UDHNA YARD",UDHNA YARD,NITINBHAI 2,440665
343,430,"NAVYUG TRADERS ( POPAT BHAI ), MOHAN BAG",MOHAN BAG,VIPULBHAI,296280
344,431,"NAKALANG KARIYANA STORE, BUT BHAVANI SOC",BUT-BHAVANI SOC,VIPULBHAI,42115
345,432,"NEW MAILI MATA PROVISION STORE, KATAR GAM",KATAR GAM 1,NITINBHAI 1,0
346,433,"NAKALANG KARIYANA STORE, TRIKAM NAGAR",TRIKAM NAGAR,VIPULBHAI,28482
347,434,"NARENDRA BHAI DARBAR, MOHAN NI CHAL",MOHAN NI CHAL,VIPULBHAI,137464
348,435,"NEW GAUTAM PROVISION STORE, AMROLI",AMROLI,VIPULBHAI,586872
349,436,"NAVDURGA TRADERS, AMROLI",AMROLI,VIPULBHAI,0
350,437,"NAVBHARAT TRADERS, MOHAN BAG",MOHAN BAG,VIPULBHAI,60770
351,439,"NAVIN TRADERS, GODADRA",GODADARA 1,NITINBHAI 2,53960
352,441,"NAVARANG KIRANA (HARI NAGAR), UDHNA MAIN ROAD",UDHNA MAIN ROAD,NITINBHAI 2,6510
353,442,"Z NAKODA TRADERS, (OLD), PANDESARA",ROLL (N),EXTRA,4813
354,443,"NARAYAN KARIYANA, VARELI",VARELI,VIPULBHAI,105190
355,444,"NARESH TRADERS (TATITHAIYA), KADODARA",BARDOLI,DHIRENBHAI,20540
356,445,"NAVDURGA TRADERS, DINDOLI",NAVAGAM,NITINBHAI 2,42005
357,446,"NEW RAMDEV PROVISION (SHIVLALALBHAI), PALIGAM ",SACHIN,VIPULBHAI,0
358,447,"NAVDEEP GENERAL, SAYAN",SAYAN,VIPULBHAI,31355
359,448,"NEW AMBIKA KIRANA (NILGIRI) (MANGALJI), UDHNA YARD NAHER",UDHNA YARD NAHER,NITINBHAI 2,87560
360,450,"NAAGESHREE TRADERS, NAVAGAM   (Unclear Cheque :      47160)",NAVAGAM,NITINBHAI 2,0
361,452,"NANAJI BHAI, VARSHA 1",VARSHA 1,VIPULBHAI,0
362,453,"NILAKANTH FOOD (HARESH BHAI), SACHIN",SACHIN,KANBHAI,576050
363,454,"NATVARBHAI CHUNILAL, BHARUCH",,EXTRA,1800
364,455,"NEW MAMATA TRADERS (AAZAD NAGAR), BHATAR ROAD",BHATAR ROAD,NITINBHAI 1,281143
365,456,"NATRAJ CORN PRODUCTS, KAMREJ",KAMREJ,KANBHAI,17600
366,457,"NATHABHAI (AMBIKA NAGAR), MOTA VARACHHA",MOTAVARACHCHA,VIPULBHAI,42935
367,458,"MATAJI KIRANA (D.K.NAGAR), GODADARA",GODADARA 1,NITINBHAI 2,646317
368,459,"N.P & CO (HOUSING BOARD), PALANPUR PATIYA   (Unclear Cheque :      31200)",PALANPUR PATIYA,NITINBHAI 1,491469
369,463,"NEW RAMDEV TRADERS (LILARAM), GODADARA",GODADARA 2,NITINBHAI 2,338845
370,468,"OM TRADERS, A.K.ROAD",A.K.ROAD V,VIPULBHAI,1068420
371,469,"OM TRADERS, UDHNA MAIN ROAD",UDHNA MAIN ROAD,KANBHAI,0
372,470,"OM GANESH KHAMAN (AVDHUTNAGAR), KATAR GAM",KATAR GAM 1,NITINBHAI 1,24150
373,471,"OM SUPER, PARBAT PATIYA",PARBAT PATIYA,NITINBHAI 2,28405
374,474,"PARAS GENERAL STORE (ADAJAN PATIYA), PALANPUR PATIYA",PALANPUR PATIYA,NITINBHAI 1,145549
375,475,"PASHVANATH TRADING, PALANPUR PATIYA",PALANPUR PATIYA,NITINBHAI 1,11810
376,476,"PRAKASH TRADERS, CHALTHAN",CHALTHAN,VIPULBHAI,47505
377,477,"Z PADMAVATI KARIYANA STORE PANCHARA, L.H ROAD",ROLL (V),EXTRA,86896
378,478,"PRABHAKAR NAMKEEN, SHREEJI NAGAR",SHREEJI NAGAR,VIPULBHAI,177425
379,479,"POONAM TOBECO, UIN PATIYA",UIN PATIYA,VIPULBHAI,119419
380,480,"Z PANKAJ TRADERS, CHLTHAN",ROLL (D),EXTRA,1309
381,481,"PRAKASH GENERAL STORE, KAMREJ",KAMREJ,VIPULBHAI,15385
382,482,"PRINCE GENERAL STORE, KADODARA",KADODARA,VIPULBHAI,43015
383,483,"PARMESHWARI NAMKEEN, BARDOLI",BARDOLI,DHIRENBHAI,33750
384,484,"PATEL SUPER STORE, VARSHA-1",VARSHA 1,VIPULBHAI,7101899
385,485,"PARMESHWAR KARIYANA (TRIVENI SOCI), KATAR GAM",KATAR GAM 1,NITINBHAI 1,0
386,486,"PARMESHWAR GENERAL STORE (CHOPATI), NANA VARACHHA",NANA VARACHHA,VIPULBHAI,470636
387,487,"PURABJI TRADERS, MITHI KHADI",MITHI KHADI,NITINBHAI 2,555959
388,488,"POOJA TRADING, PANDESARA   (Unclear Cheque :      58000)",PANDESARA,NITINBHAI 2,863609
389,489,"Z PUKHRAJ PRAKASHCHAND AMBAJI RO, PAAL GHAR",ROLL (D),EXTRA,9260
390,490,"JALARAM MASALA (PRADIPBHAI), DUMMAS",SACHIN,SHOP,178992
391,491,"PRABHUDAYA JIVDAYA (JOTHAN), PALANPUR PATIYA   (Unclear Cheque :     288820)",,SHOP,85020
392,492,"PANKAJ TRADERS (SHAK MARKET), BARDOLI",BARDOLI,DHIRENBHAI,0
393,494,"PARAS KIRANA STORE (TATITHAYA), BARDOLI",BARDOLI,DHIRENBHAI,10545
394,495,"PURABJI TRADERS, GODADRA",GODADARA 1,NITINBHAI 2,188543
395,496,"PATEL SUPER (MATRU SHAKTI), ANJALI SOCIETY",ANJALI SOCIETY,VIPULBHAI,94120
396,497,"POOJA TOBECO, KARGIL CHOWK",LAXMAN NAGAR,VIPULBHAI,303257
397,498,"PRIT TRADERS, MOHAN BHG",MOHAN BAG,VIPULBHAI,34066
398,499,"PARAS TRADERS, NANDANVAN SOC",NANDANVAN SOCIETY,VIPULBHAI,531594
399,501,"VIMAL PROVISION (PAVU BHAI), SAVAR KUNDALA",SAVAR KUNDALA,DHIRENBHAI,90122
400,502,"PATEL KIRANA, NANA VARACHHA",NANA VARACHHA,VIPULBHAI,0
401,503,"PATEL TOBECO (VED ROAD), KATARGAM",KATAR GAM 1,NITINBHAI 1,9540
402,505,"POOJA TRADING, JOLWA   (Unclear Cheque :      34830)",BARDOLI,DHIRENBHAI,66340
403,506,"PADMAVATI KIRANA (PANI NI TAKI PASE), PANDESARA",PANDESARA,NITINBHAI 2,9470
404,507,"PAVAN TRADERS (PRAKASHBHAI), JUNAGADH",JUNAGADH,VIPULBHAI,1244026
405,508,"POOJA SALES, VYARA",VYARA,DHIRENBHAI,54140
406,509,"PADMSHREE GENERAL, UDHANA YARD",UDHNA YARD,NITINBHAI 2,109290
407,510,"PAYAL NAMKEEN, MAHAPRABHU NAGAR",MAHAPRABHU NAGAR,NITINBHAI 2,30040
408,511,"PRINCE TRADERS (NANESH), BHESTAN",BHESTAN,VIPULBHAI,12600
409,512,"POONAM TRADERS, PARBAT GAM",GODADARA 2,NITINBHAI 2,13050
410,513,"PRAKASH GENERAL, UDHANA YARD   (Unclear Cheque :      35687)",UDHNA YARD,NITINBHAI 2,254107
411,515,"R.P TRADERS ( RAJANI ), MOHAN BAG",MOHAN BAG,VIPULBHAI,212933
412,516,"RAJASTHAN KARIYANA STORE, VADAVALA NAGAR   (Unclear Cheque :     150000)",VADAVALA NAGAR,VIPULBHAI,300450
413,517,"RAMDEV KARIYANA STORE, NAVAGAM",NAVAGAM,NITINBHAI 2,93570
414,518,"RAJ TRADERS, UDHNA MAIN ROAD",UDHNA MAIN ROAD,NITINBHAI 2,10500
415,519,"RAMDEVJI TRADING, HIRA BAG",HIRA BAG,VIPULBHAI,756
416,520,"RADHAKRUSHNA GENERAL STORE, KATAR GAM   (Unclear Cheque :      40900)",KATAR GAM 1,NITINBHAI 1,207819
417,521,"RAMESHWAR KARIYANA STORE (SHIV NAGAR), KATAR GAM",KATAR GAM 1,NITINBHAI 1,185830
418,522,"ROOPAM KARIYANA STORE, PALANPUR PATIYA",PALANPUR PATIYA,NITINBHAI 1,180056
419,523,"RAM MADHI (RANDER), JAHANGEERPURA",PALANPUR PATIYA,NITINBHAI 1,6040
420,524,"RAMESH GENERAL STORE, MAHADEV NAGAR",MAHADEV NAGAR,VIPULBHAI,111870
421,525,"RAMESHKUMAR BABULAL (PANKAJBHAI), KAPODRA",KAPODRA CHAR RASTA V,VIPULBHAI,79765
422,526,"RAJESHWAR SUPER STORE, PARBAT PATIYA",PARBAT PATIYA,NITINBHAI 2,19260
423,527,"RAJENDRA PROVISION STORE, VAISHALI CINEMA",VAISHALI CINEMA,VIPULBHAI,122355
424,528,"RAMDEV KARIYANA STORE, SACHIN",SACHIN,VIPULBHAI,206485
425,529,"RUSHABH TRADERS, KIM",KIM,DHIRENBHAI,390198
426,530,"RAMESH GENERAL (B.B), KHODIYAR NAGAR",KHODIYAR NAGAR,VIPULBHAI,26990
427,531,"RAVANI GENERAL STORE, BARODA PRIS",SANTOSHI NAGAR D,VIPULBHAI,-136719
428,532,"Z RADHESHYAM KARIYANA STORE, HIMMAT NAGAR",ROLL (V),EXTRA,9656
429,533,"RAJ TRADERS, KADODARA",KADODARA,VIPULBHAI,142090
430,534,"RAJESH KARIYANA STORE, PALSANA",PALSANA,VIPULBHAI,73550
431,535,"RAJ TRADERS, PUNA GAM",PUNA GAM (D),VIPULBHAI,463219
432,536,"RAJARAM TRADERS, GODADRA",GODADARA 2,NITINBHAI 2,179761
433,538,"RAJAVADI TRADERS, A.K.ROAD",A.K.ROAD V,VIPULBHAI,477136
434,539,"RAJARAM TRADERS (BHAIYANAGAR), PUNA GAM",PUNA GAM (D),VIPULBHAI,4740
435,540,"RUSHABH TRADING, BARDOLI",BARDOLI,DHIRENBHAI,36965
436,541,"Z RAJAN TRADERS SAGAR SOC.., VADAVALANAGAR",ROLL (V),EXTRA,196395
437,542,"RADHE GENERAL, MATAVADI   (Unclear Cheque :     350000)",MATAVADI,VIPULBHAI,2071919
438,543,"RAMDEV KARIYANA, SAHAJANAND SOC",SAHAJANAND SOCIETY,VIPULBHAI,0
439,544,"RAMDEV KIRANA, PANCHRATNA",L.H.ROAD,VIPULBHAI,430261
440,545,"RIDHDHESH OIL, BHAGAL",BHAGAL,NITINBHAI 1,22240
441,546,"RAJESHWAR TRADERS (NILGIRI), GODADRA   (Unclear Cheque :     200528)",GODADARA 2,NITINBHAI 2,1095889
442,547,"RAMDEV KARIYANA (CHAMUNDA NAGAR), PUNA GAM",PUNA GAM,VIPULBHAI,170730
443,550,"RAJESH KIRANA, KIM",KIM,DHIRENBHAI,0
444,551,"RAMDEV KIRANA, KIM   (Unclear Cheque :     193095)",KIM,DHIRENBHAI,229150
445,552,"RADAJI KIRANA, PIPODARA",KIM,DHIRENBHAI,0
446,553,"RAMESHCHAND NANDLAL (MODEL TWON), PARBAT PATIYA",PARBAT PATIYA,NITINBHAI 2,26700
447,554,"RADHE TRADERS (AMRELI), SAVAR KUNDALA",SAVAR KUNDALA,DHIRENBHAI,451795
448,555,"RAMDEV TRADERS (PURA RAM), GODADARA",GODADARA 2,NITINBHAI 2,626498
449,556,"RAMDEV SUPER STORE, VARELI",VARELI,VIPULBHAI,18370
450,557,"JAY RADHE GRUH UDHYOG (MAGANBHAI), SACHIN",SACHIN,KANBHAI,574500
451,558,"RAGHUKUL KIRANA, VADI",VASANT BHIKA NI VADI,VIPULBHAI,49240
452,559,"RAJAVADI (CHHOLE), MAHADEV NAGAR",MAHADEV NAGAR,VIPULBHAI,0
453,560,"RAMDEV KIRANA (HATHI MANDIR), KATAR GAM",KATAR GAM 1,NITINBHAI 1,87805
454,562,"RAJLAXMI GENERAL (NILGIRI), UDHNA YARD",UDHNA YARD NAHER,NITINBHAI 2,16710
455,564,"RAMOJI WAFERS NAMKIN PVL, KIM",KIM,KANBHAI,321439
456,566,"RADHE TRADING, UDHANA",UDHNA MAIN ROAD,NITINBHAI 2,148574
457,567,"RAVANI FOOD PRODUCTS, GAYPAGALA ROAD",SACHIN,KANBHAI,565000
458,568,"RAJARAM TRADERS (KALYAN NAGAR), PUNA GAM",PUNA GAM (D),VIPULBHAI,64020
459,569,"R.K DRYFRUIT, BHAGAL",BHAGAL,NITINBHAI 1,0
460,570,"RAMOJI WAFERS (DEBIT), KIM",KIM,KANBHAI,103300
461,571,"RAMDEV GRAIN STORE, HIRABAG",HIRA BAG,VIPULBHAI,0
462,574,"R.K TRADERS, ANKLESHWAR",ANKLESHWAR,JAYKISHAN,356160
463,575,"SANJAY STORES, SHIV NAGAR",SHIV NAGAR,VIPULBHAI,14690
464,576,"Z SONY SUPER STORES, CHAMUNDA NAGR",ROLL (V),EXTRA,63455
465,577,"SHREE KRUSHNA GENERAL ( RAJU BHAI ), BHOLA NAGAR",BHOLA NAGAR,VIPULBHAI,542072
466,578,"SIDHDHI TRADING (PRAKASH BHAI), UDHNA YARD   (Unclear Cheque :      22060)",UDHNA YARD,NITINBHAI 2,192684
467,579,"SHANTI TRADERS, UDHNA YARD NAHER",UDHNA YARD NAHER,NITINBHAI 2,3480
468,580,"SHREEJI TRADERS, NAVAGAM",NAVAGAM,NITINBHAI 2,45581
469,583,"SAURABH TRADERS, PALANPUR PATIYA",PALANPUR PATIYA,NITINBHAI 1,128160
470,584,"SHANTI SALES (RAKESHBHAI), KIM",KIM,DHIRENBHAI,26785
471,585,"SAGAR PROVISION STORE, VADI",VASANT BHIKA NI VADI,VIPULBHAI,0
472,586,"SHANTI TRADING, CHALTHAN",CHALTHAN,VIPULBHAI,305654
473,587,"SATYAM TRADERS, KADODARA",KADODARA,VIPULBHAI,520803
474,588,"Z SONY PROVISION STORE, VADI",ROLL (V),EXTRA,18432
475,589,"SHIVAM TRADERS, BHATAR ROAD",BHATAR ROAD,NITINBHAI 1,10248
476,590,"SHITAL JUICE & SNACKES (HARSHADBHAI), MINI BAZAR",MINI BAZAR,KANBHAI,0
477,591,"SUNIL TRADERS, BHATAR ROAD",BHATAR ROAD,NITINBHAI 1,808716
478,592,"SHAILESH KARIYANA STORE, NANPURA",NANPURA,NITINBHAI 1,7260
479,593,"SHREE RAM PROVISION STORE, DARPAN CINEMA",DARPAN CINEMA,VIPULBHAI,109050
480,594,"SUNDHA KARIYANA STORE, ADARSH NAGAR",ADARSH NAGAR,VIPULBHAI,21930
481,595,"SIMA TRADERS (SUDHA), BHESTAN",BHESTAN,VIPULBHAI,200434
482,596,"Z SHREEJI KARIYANA STORE, KAMAL PARK",ROLL (V),EXTRA,1958
483,597,"SAVARIYA KHAMAN, AMROLI",AMROLI,VIPULBHAI,33865
484,598,"SAMRAT TOBECO, GODADRA",GODADARA 2,NITINBHAI 2,356142
485,599,"DEV NARAYAN TRADERS (HAKMA BHAI), NILGIRI",UDHNA YARD NAHER,NITINBHAI 2,166844
486,600,"SAURASTRA TRADING, MOHAN BAG",MOHAN BAG,VIPULBHAI,81205
487,601,"SHANTILAL HIRALAL, KIM",KIM,DHIRENBHAI,28650
488,602,"SANGITA SUPER STORE (SHIV NAGAR), KATAR GAM",KATAR GAM 1,NITINBHAI 1,196265
489,604,"SHAMBHUKAKA DIPCHAND, KAMREJ",KAMREJ,VIPULBHAI,133645
490,605,"SAI KRUPA KARIYANA STORE, VADAVALA NAGAR",VADAVALA NAGAR,VIPULBHAI,0
491,606,"SIDHDHARTH TRADERS, PARBAT PATIYA   (Unclear Cheque :      50000)",PARBAT PATIYA,NITINBHAI 2,662586
492,607,"SUPER TRADERS, MITHI KHADI",MITHI KHADI,NITINBHAI 2,680392
493,608,"Z SHAH TRADING, KIM",ROLL (D),EXTRA,7025
494,609,"SANKET DRY FRUITS (RANI TALAV), BHAGAL",BHAGAL,NITINBHAI 1,183593
495,610,"ASHOK TRADERS DEBIT (SATYAM), KADODARA",KADODARA,VIPULBHAI,141345
496,611,"SHANTI KIRANA (BAMROLI), H. LAXMI - PANDESARA ",PANDESARA,NITINBHAI 2,62540
497,612,"SHREEJI FOOD PRODUTS, NAVASARI",NAVASARI,DHIRENBHAI,34307
498,613,"SATADHAR TRADERS, BUT BHAVANI SOC",VIVEKANAND SOCIETY,VIPULBHAI,288944
499,615,"AKASH TRADERS (VED ROAD), KATARGAM",ROLL (N),EXTRA,723316
500,616,"SHIVSHAKTI FARSAN (DHARAM NAGAR), H. SHAKTI FARSAN KHODIYAR NAGAR A.K.ROAD",A.K.ROAD V,VIPULBHAI,0
501,617,"SAGAR TRADERS, MOHAN BAG",MOHAN BAG,VIPULBHAI,57895
502,619,"S.K. NAMKEEN (FOOL VADI), HODI BANGLOW",ROLL (N),EXTRA,5150
503,620,"SHIVJI DALAL, SURAT",ROLL (D),EXTRA,380
504,622,"Z SHANKHESHWAR TRADERS, BARDOLI",ROLL (D),EXTRA,1615
505,624,"SHYAM GENERAL, HIRA BAG",HIRA BAG,VIPULBHAI,1688023
506,625,"SIDHDHI FARSAN, MAHAPRABHU NAGAR",MAHAPRABHU NAGAR,NITINBHAI 2,45050
507,626,"SHIVAM TRADERS, VADAVALA",VADAVALA NAGAR,VIPULBHAI,59405
508,627,"SHIVSHAKTI KIRANA, MITHI KHADI",MITHI KHADI,NITINBHAI 2,377675
509,629,"BHAGWAN TRADING (VED ROAD), KATAR GAM",ROLL (N),EXTRA,698768
510,630,"SHAKTI TRADING (DIAMOND NAGAR), SACHIN",SACHIN,VIPULBHAI,109215
511,632,"SHREE SANT TRADERS, VED ROAD, KATAR GAM",ROLL (N),EXTRA,1203559
512,633,"Z SARGAM PAPAD, VALOD, BARDOLI",ROLL (D),EXTRA,6280
513,634,"SANGITA WEFFAR & FARSAN, BHESTAN",BHESTAN,VIPULBHAI,111000
514,635,"SHREE JAIN STORE (BAJARANG BHAI), BHATAR ROAD",BHATAR ROAD,NITINBHAI 1,28335
515,636,"SARASWATI KIRANA, BHATAR ROAD",BHATAR ROAD,NITINBHAI 1,0
516,637,"SHIV (BHARAT) TRADERS, UDHNA MAIN ROAD",UDHNA MAIN ROAD,NITINBHAI 2,26607
517,638,"SHANTINATH TRADING, KIM",KIM,DHIRENBHAI,37345
518,639,"SAVARIYA GENERAL, KUBER NAGAR",KATAR GAM 2,NITINBHAI 1,392037
519,640,"OM SAI BHOLENATH, AMROLI",,EXTRA,486552
520,641,"SINGHAL TRADERS, A.K.ROAD",A.K.ROAD V,VIPULBHAI,433435
521,642,"SHIVAM PROVISION, SACHIN",SACHIN,VIPULBHAI,190970
522,643,"SHIVSHAKTI KIRANA (DABHOLI), KATAR GAM",KATAR GAM 1,NITINBHAI 1,41585
523,644,"SHYAM BHAI, KUBER NAGAR   (Unclear Cheque :     107275)",KATAR GAM 2,NITINBHAI 1,457090
524,645,"SHREE HARI KIRANA, YOGI CHOWK",NANA VARACHHA,VIPULBHAI,26160
525,646,"SUPERKING TRADERS, VARACHHA ROAD",VARACHHA ROAD,KANBHAI,0
526,647,"SUNILKUMAR VASANTRAI, BHAVNAGAR",SAVAR KUNDALA,DHIRENBHAI,0
527,648,"SHREE RAM SALE AGENCY (GIDC), SACHIN",SACHIN,VIPULBHAI,14435
528,650,"SHATRUDHAN FOOD PRODUCT, SAYAN   (Unclear Cheque :      64780)",SAYAN,VIPULBHAI,128830
529,651,"SHYAM KIRANA, KIM FIRDOS",KIM,DHIRENBHAI,35190
530,652,"SHAILESH TRADERS, VYARA",VYARA,DHIRENBHAI,170273
531,653,"SHANTI SALSE, CITILIGHT",ROLL (N),EXTRA,174388
532,654,"SHYAM GENERAL, PALANPUR PATIYA",PALANPUR PATIYA,NITINBHAI 1,642412
533,655,"SWASTIC BEKRI (VRUNDAVAN NAGAR), GODADRA",GODADARA 2,NITINBHAI 2,0
534,656,"SUPERKING AGENCY(MANEK BHAI), SANIYA MAGOB",PUNA GAM,KANBHAI,-182358
535,658,"SHREE HARI KIRANA, AKSHAR TOWNSHIP",PARBAT PATIYA,NITINBHAI 2,0
536,659,"SAVARIYA GENERAL, RAM NAGAR",PALANPUR PATIYA,NITINBHAI 1,1389608
537,660,"SANDIP FLOUR MILL, PALSANA",PALSANA,VIPULBHAI,72380
538,661,"SHREE RAJESHWAR TRADING, AMROLI",AMROLI,VIPULBHAI,203058
539,662,"SHREE RAM TRADING CO, VALIYA CHOKDI",ANKLESHWAR,JAYKISHAN,8775
540,663,"SUGAR & CREAM CONE, UDHANA",BHATAR ROAD,KANBHAI,127100
541,665,"SATADHAR SALES AGENCY, YOGI CHOWK",NANA VARACHHA,VIPULBHAI,0
542,666,"SHREE RAM ENTERPRISE (SHAK MARKET), BARDOLI",BARDOLI,DHIRENBHAI,13920
543,667,"SIDHDHI VINAYAK TRADERS, BARDOLI",BARDOLI,DHIRENBHAI,0
544,669,"SHIV MASALA, UBHEN",KAMREJ,VIPULBHAI,0
545,670,"SURESH KIRANA (GIDC), A.K. ROAD    (Unclear Cheque :      17970)",A.K.ROAD V,VIPULBHAI,0
546,673,"SATADHAR SUPER STORES, BARODA PRISTAGE",BARODA PRISTAGE,VIPULBHAI,0
547,674,"SHREENATHJI SUPER, NILAM NAGAR",KADODARA,VIPULBHAI,44700
548,675,"SHREE RAM TRADERS (LAJPOR), SACHIN",SACHIN,VIPULBHAI,0
549,676,"SAVARIYA FARSAN (CHHAPRABHATHA ROAD), AMROLI",AMROLI,VIPULBHAI,117120
550,677,"SHIV TRADING (MOTIRAM), UDHANA MAIN ROAD",UDHNA MAIN ROAD,NITINBHAI 2,428113
551,678,"SURENDRNAGAR SAMOSA CENTER, SUDAMA CHOWK",MOTAVARACHCHA,KANBHAI,15200
552,679,"SHYAM SALES AGENCY (RAMAN PARK), KATAR GAM",KATAR GAM 1,NITINBHAI 1,62822
553,680,"SHREENATHJI TRADERS (SHREE SANT), AMROLI",ROLL (V),EXTRA,1059752
554,681,"SAHKAR GRUH UDHYOG, ANKLESHWAR",ANKLESHWAR,JAYKISHAN,0
555,683,"SURENDRNAGAR SNACKS, VALINATH SOCIETY",KAPODRA CHAR RASTA D,KANBHAI,0
556,684,"SUNDHA TRADERS (DINDOLI), NAVAGAM   (Unclear Cheque :     286380)",NAVAGAM,NITINBHAI 2,908175
557,685,"SHIVSHAKTI SUPER STORE (MADHUVAN SOCA), CHHAPRABHATHA ROAD",AMROLI,VIPULBHAI,170315
558,687,"SHREEJI TRADERS, KIM",KIM,DHIRENBHAI,314585
559,690,"SUMUL DAIRY, KATARGAM",KATAR GAM 1,KANBHAI,556000
560,692,"SHANTINATH GENERAL (MARUTI NAGAR), UDHANA YARD",UDHNA YARD,NITINBHAI 2,331111
561,694,"SATADHAR TRADING CO, ABRAMA ROAD",MOTAVARACHCHA,VIPULBHAI,782823
562,695,"TRUPTI GENERAL STORE ( BABU KAKA ), KATAR GAM",KATAR GAM 2,NITINBHAI 1,267291
563,696,"RIDHDHI GENERAL (TULSI) GALEMANDI, DILHI GATE",ROLL (N),EXTRA,-139364
564,697,"TULSI GENERAL STORE, KAMREJ",KAMREJ,VIPULBHAI,3300
565,698,"TULSI TRADING, PALANPUR PATIYA",PALANPUR PATIYA,NITINBHAI 1,0
566,699,"TESTI FARSAN VARIYALI BAZAR, HODI BANGLOW",ROLL (N),EXTRA,2300
567,700,"THAKKAR KHAMAN (VRAJ CHOWK), ANJALI SOC",ANJALI SOCIETY,VIPULBHAI,134100
568,702,"TULSI GENERAL STORES, (H- BHERUNATH GODADARA) PUNA GAM",PUNA GAM (D),VIPULBHAI,83955
569,703,"TULSI TRADERS, RAM KRUSHNA SOC",RAM KRUSHNA SOCIETY,VIPULBHAI,20620
570,704,"TOUCHSTONE FOUNDATION, SURAT",PARBAT PATIYA,KANBHAI,13750
571,705,"Z TRIBHOVAN CHELARAM, VADODARA",ROLL (D),EXTRA,11572
572,706,"TULSI NAMKEEN, NAVI PARDI",KIM,EXTRA,284336
573,707,"TULSI TRADERS, VALIYA CHOKDI",ANKLESHWAR,JAYKISHAN,242250
574,710,"UMIYA TRADERS, BHATHENA",BHATHENA,NITINBHAI 1,33515
575,711,"EURO INDIA FRESH FOOD PVT LTD, SURAT",HIRA BAG,KANBHAI,1546086
576,712,"EURO INDIA FRESH FOOD PVT (DEBIT), SARTHI COMPLEX",HIRA BAG,KANBHAI,909348
577,713,"UMA TRADERS (RANI TALAV), BHAGAL",BHAGAL,NITINBHAI 1,918493
578,714,"UMA FOOD (DEVJI BHAI), TANKARA",,EXTRA,-81570
579,715,"VARSHA TRADING (HIMALAY), PANDESARA",PANDESARA,NITINBHAI 2,124135
580,716,"VIKAS TRADING (SANTOSH), UDHNA YARD",UDHNA YARD,NITINBHAI 2,206312
581,717,"VISHAL TRADING (ADAJAN PATIYA), PALANPUR PATIYA   (Unclear Cheque :      37570)",PALANPUR PATIYA,NITINBHAI 1,23060
582,718,"VIJAY LAXMI KARIYANA STORE, KUBER NAGAR",KUBER NAGAR,VIPULBHAI,46811
583,719,"VISHVAS GENERAL STORE, MAHADEV NAGAR",MAHADEV NAGAR,VIPULBHAI,2700
584,720,"VINODBHAI (G-6 SAINATH APPARTMENT), KAMAL PARK",KAMAL PARK,VIPULBHAI,91650
585,721,"VIRAT KARIYANA STORE, VIRAT NAGAR",VIRAT NAGAR,VIPULBHAI,157498
586,722,"Z VISHAMBHAR KARIYANA STORE, VARSHA 1",ROLL (V),EXTRA,9915
587,724,"VIDHATA GENERAL STORE, SACHIN",SACHIN,VIPULBHAI,795330
588,725,"V.D SUPER STORES, KAMREJ",KAMREJ,VIPULBHAI,39565
589,726,"VARAHI TRADERS, MAHESANA",MAHESANA,DHIRENBHAI,482132
590,727,"VIJAYKUMAR NANALAL GANDHI, NANPURA",NANPURA,NITINBHAI 1,93500
591,728,"VINODBHAI (PALIGAM), SACHIN",SACHIN,VIPULBHAI,0
592,729,"VASANTBHAI, BHATHENA",BHATHENA,NITINBHAI 1,0
593,730,"VARDHAMAN SUPER STORE, PALSANA",PALSANA,VIPULBHAI,56315
594,731,"VIMAL PROVISION (HARIHARI SOC), KATAR GAM",KATAR GAM 1,NITINBHAI 1,0
595,733,"V.K SONS, GOPIPURA   (Unclear Cheque :     200000)",BHAGAL,NITINBHAI 1,5012841
596,735,"V.D & CO (L.P SAVANI), ADAJAN PATIYA",PALANPUR PATIYA,NITINBHAI 1,97260
597,736,"VIJAY TRADERS (MADANLAL), UDHANA YARD NAHER   (Unclear Cheque :     143610)",UDHNA YARD NAHER,NITINBHAI 2,706020
598,737,"VRUNDAVAN KIRANA (B\H NAVYUG CLG), ADAJAN",PALANPUR PATIYA,NITINBHAI 1,34025
599,738,"VEER TRADERS, VALIYA CHOKDI",ANKLESHWAR,JAYKISHAN,72855
600,739,"VINUBHAI IDLIVALA, KOHINOOR SOC",KOHINOOR SOCIETY,VIPULBHAI,28600
601,740,"VASANTLAL KANTILAL GANDHI, ZAPA BAZAR",DILHI GATE,NITINBHAI 1,0
602,742,"VISHV VALLABH KIRANA (SHIVSHAKTI RH), SACHIN",SACHIN,VIPULBHAI,24040
603,744,"WELCOME SUPER STORE (KRISHNA), CHALTHAN   (Unclear Cheque :      49926)",CHALTHAN,VIPULBHAI,105415
604,745,"WELCOME SUPER MARKET, GODADRA",GODADARA 1,NITINBHAI 2,13735
605,746,"XXXXX, SURAT",,EXTRA,-295967
606,747,"YOGI SALES ( SURESH BHAI ) TAPI BAG, VARACHHA ROAD",VARACHHA ROAD,VIPULBHAI,25080
607,748,"YASPAL GENERAL STORES, BHESTAN",BHESTAN,VIPULBHAI,52080
